"Place","Name","Club","Age","Distance","Gender","Year"
"1","Andrew Steenrod","WMAC","24","5055","Men","2009"
"2","Raymond A White","SKY","24","5000","Men","2009"
"3","Grant Wieczorek","ISF","22","4800","Men","2009"
"4","Stephen A Hooper","TNYA","24","4765","Men","2009"
"5","Chris J Rodman","UCLA","18","4700","Men","2009"
"6","Travis Askham","UCLA","21","4670","Men","2009"
"7","Carlos Pena","UCLA","19","4550","Men","2009"
"8","Kyle J Ryan","DAM","20","4500","Men","2009"
"9","Alexander A Shakibnia","UCLA","22","4440","Men","2009"
"10","Thomas J Alne","GSM","20","4435","Men","2009"
"10","Billy J Morris","UCLA","23","4435","Men","2009"
"12","Thomas T Wong","UCLA","21","4385","Men","2009"
"13","Christopher A Lee","DAM","22","4340","Men","2009"
"14","Travis L Williams","DAM","22","4245","Men","2009"
"15","Ben A Bly","ISF","23","4175","Men","2009"
"16","Sean A Mcnulty","SKY","19","4125","Men","2009"
"17","William P Thompson","UCLA","21","4120","Men","2009"
"18","Daniel A Cashman","UCLA","21","4040","Men","2009"
"19","Henry Hagenbuch","UCLA","24","4000","Men","2009"
"19","Zachary A Papas","TNYA","24","4000","Men","2009"
"21","Craig M Keller","DAM","24","3970","Men","2009"
"22","Nicholas I Normandin","NEM","23","3950","Men","2009"
"23","Ryan Walsh","MOST","22","3800","Men","2009"
"24","Matthew B DeGennaro","MOST","18","3710","Men","2009"
"25","Bob Peck","IM","24","3550","Men","2009"
"26","Hamber Pablo","PNA","22","3455","Men","2009"
"27","Adel A Jabbar","DAM","21","3335","Men","2009"
"27","Nathan L Gallegos","LBG","18","3335","Men","2009"
"29","Benjamin Perez","LBG","24","3285","Men","2009"
"30","Kevin M Brady","DAM","23","3245","Men","2009"
"31","Joseph M Stallings","VMST","19","3095","Men","2009"
"32","Brett D Fontaine","DAM","21","2555","Men","2009"
"1","Edward (Ted) J Bradley","SPM","25","5375","Men","2009"
"2","Mark B Callaghan","DAM","29","5290","Men","2009"
"3","Matthew G Davie","TOC","27","5280","Men","2009"
"4","Chris Tremonte","PNA","28","5250","Men","2009"
"5","David E Kuendig","SKY","28","5225","Men","2009"
"6","Ian A Neubauer","ROSE","28","5200","Men","2009"
"7","Jose Manuel Nieto","SKY","28","5185","Men","2009"
"7","Paul K Bizzarro","DRM","29","5185","Men","2009"
"9","Chris McKee","MOST","29","5140","Men","2009"
"10","Win Chesson","TNYA","25","5075","Men","2009"
"11","Nicholas A Graham","UCLA","29","5050","Men","2009"
"12","Andrew Lockton","UCLA","26","4995","Men","2009"
"13","Peter Achberger","CSAM","29","4895","Men","2009"
"14","Jeffery C Swisher","SPM","28","4740","Men","2009"
"15","George H Crocker","DAM","25","4695","Men","2009"
"16","Joseph E McBride","MOST","29","4675","Men","2009"
"17","Mike D Ash","UCLA","28","4650","Men","2009"
"18","Evan Shute T Shute","OREG","29","4645","Men","2009"
"19","Craig R Charley","SMAM","25","4640","Men","2009"
"20","Timothy L Wera","SPM","27","4635","Men","2009"
"21","Travis Earley","NIAG","26","4630","Men","2009"
"22","Su‐Yang Liu","UCLA","26","4575","Men","2009"
"23","Derek E Jansen","ART","25","4545","Men","2009"
"24","Bentley R Walker","ISF","27","4525","Men","2009"
"25","James J Montante","SPM","26","4450","Men","2009"
"26","Martin J Walker","WACM","29","4425","Men","2009"
"27","Nathaniel T Leachman","DAM","29","4335","Men","2009"
"28","Pablo Fuentenebro","UCLA","26","4330","Men","2009"
"29","Michael L Kalk","OREG","28","4325","Men","2009"
"30","Matthew A Graf","UCLA","25","4270","Men","2009"
"31","Alexander T Barclay","TNYA","27","4255","Men","2009"
"32","Eric D Love","ART","26","4245","Men","2009"
"32","Matt J Carnal","SKY","29","4245","Men","2009"
"34","Chip Jetton","NCMS","27","4225","Men","2009"
"35","Stuart Sievers","UCLA","28","4205","Men","2009"
"36","Tyler J Imoto","TNYA","27","4120","Men","2009"
"37","Jeffrey Buhr","SKY","29","4100","Men","2009"
"37","Russell E Porter","ART","25","4100","Men","2009"
"39","Blair L Martin","TAM","29","4060","Men","2009"
"40","Mark L Amott","UCLA","29","4025","Men","2009"
"41","Jason D Wulff","NEM","29","4000","Men","2009"
"42","Ziv R Lang","DAM","26","3940","Men","2009"
"43","Olivier Francois","TNYA","29","3925","Men","2009"
"44","Matt Gurry","TNYA","27","3900","Men","2009"
"45","Brian D Klein","TAM","29","3875","Men","2009"
"46","Jiro Kusunose","DAM","27","3835","Men","2009"
"47","John C Lulay","LBG","25","3825","Men","2009"
"48","Lucas W Moore","NEM","29","3810","Men","2009"
"49","Ryan J Plantz","ART","25","3545","Men","2009"
"50","Daniel J Borcherding","DAM","25","3530","Men","2009"
"51","Chad B Ashmore","SWOM","27","3500","Men","2009"
"52","Michael J Vanvalkenburgh","UCLA","27","3355","Men","2009"
"53","Ha Young Park","UCLA","27","3350","Men","2009"
"54","Andrew J Gersh","CRUZ","29","3300","Men","2009"
"55","Daniel P O'Kane","UNAT","28","3250","Men","2009"
"56","Thomas C Clancy","TERR","28","3220","Men","2009"
"57","Wade W Schaming","TNYA","25","3215","Men","2009"
"58","Martin Scovacricchi","NEM","25","3180","Men","2009"
"59","Somang H Kim","UNAT","27","3125","Men","2009"
"60","Ken Sutha","ART","27","3050","Men","2009"
"61","Adam J Hartwick","CSAM","29","2920","Men","2009"
"1","Jason H Eaddy","NEM","32","5585","Men","2009"
"2","Jeffrey B Halbert","ISF","34","5450","Men","2009"
"3","William B Simmons","ISF","33","5385","Men","2009"
"4","Gary A Simon","NMMS","33","5145","Men","2009"
"5","Nathan J Boal","OREG","31","5010","Men","2009"
"6","Ben D Rosen","DAM","31","4925","Men","2009"
"7","Thomas J Patterson","1776","31","4920","Men","2009"
"8","Brian P Delisle","SKY","34","4865","Men","2009"
"9","Adam F Barrios","DAM","30","4855","Men","2009"
"10","Christopher A Thelen","SWOM","31","4805","Men","2009"
